Block Name,Point ID,_0,_1,_2,_Magnitude,CS_0,CS_1,CS_2,CS_3,CS_4,CS_5,CS_6,CS_7,CS_8,CS_Magnitude,eigS1_CS,eigS2_CS,eigS3_CS,FS_0,FS_1,FS_2,FS_3,FS_4,FS_5,FS_6,FS_7,FS_8,FS_Magnitude,gradp_0,gradp_1,gradp_2,gradp_Magnitude,KF,nS,p,P_S_0,P_S_1,P_S_2,P_S_3,P_S_4,P_S_5,P_S_6,P_S_7,P_S_8,P_S_Magnitude,S_S_0,S_S_1,S_S_2,S_S_3,S_S_4,S_S_5,S_S_6,S_S_7,S_S_8,S_S_Magnitude,T_S_0,T_S_1,T_S_2,T_S_3,T_S_4,T_S_5,T_S_6,T_S_7,T_S_8,T_S_Magnitude,uS_0,uS_1,uS_2,uS_Magnitude,vF_0,vF_1,vF_2,vF_Magnitude,wFR_0,wFR_1,wFR_2,wFR_Magnitude
unnamed_block_0,0,0,0,0,0,1,0,-1.38E-10,0,1,-1.38E-10,-1.38E-10,-1.38E-10,1,1.73205,1.00008,0.999918,1,1,0,-1.38E-10,0,1,-1.38E-10,0,0,1,1.73205,0,0,0,0,0,0.04,0,-2.44E-06,1.22E-15,-3.55E-06,1.22E-15,-2.44E-06,-3.55E-06,-3.55E-06,-3.55E-06,-1.35E-05,1.56E-05,-2.44E-06,7.27E-16,-3.55E-06,7.27E-16,-2.44E-06,-3.55E-06,-3.55E-06,-3.55E-06,-1.35E-05,1.56E-05,-2.44E-06,1.70E-15,-3.55E-06,1.70E-15,-2.44E-06,-3.55E-06,-3.55E-06,-3.55E-06,-1.35E-05,1.56E-05,0,0,0,0,0,0,0,0,0,0,0,0
unnamed_block_0,1,8.33333,0,0,8.33333,1,0,-6.93E-11,0,1,-1.37E-10,-6.93E-11,-1.37E-10,1,1.73205,1.00008,0.999918,1,1,0,-6.93E-11,0,1,-1.37E-10,0,0,1,1.73205,0,0,0,0,0,0.04,0,-2.37E-06,6.10E-16,-1.79E-06,6.10E-16,-2.37E-06,-3.54E-06,-1.79E-06,-3.54E-06,-8.02E-06,1.03E-05,-2.37E-06,3.65E-16,-1.79E-06,3.65E-16,-2.37E-06,-3.54E-06,-1.79E-06,-3.54E-06,-8.02E-06,1.03E-05,-2.37E-06,8.56E-16,-1.79E-06,8.56E-16,-2.37E-06,-3.54E-06,-1.79E-06,-3.54E-06,-8.02E-06,1.03E-05,0,0,0,0,0,0,0,0,0,0,0,0
unnamed_block_0,2,0,8.33333,0,8.33333,1,0,-1.37E-10,0,1,-6.93E-11,-1.37E-10,-6.93E-11,1,1.73205,1.00008,0.999918,1,1,0,-1.37E-10,0,1,-6.93E-11,0,0,1,1.73205,0,0,0,0,0,0.04,0,-2.37E-06,6.10E-16,-3.54E-06,6.10E-16,-2.37E-06,-1.79E-06,-3.54E-06,-1.79E-06,-8.02E-06,1.03E-05,-2.37E-06,3.65E-16,-3.54E-06,3.65E-16,-2.37E-06,-1.79E-06,-3.54E-06,-1.79E-06,-8.02E-06,1.03E-05,-2.37E-06,8.56E-16,-3.54E-06,8.56E-16,-2.37E-06,-1.79E-06,-3.54E-06,-1.79E-06,-8.02E-06,1.03E-05,0,0,0,0,0,0,0,0,0,0,0,0
unnamed_block_0,3,8.33333,8.33333,0,11.7851,1,0,-6.93E-11,0,1,-6.93E-11,-6.93E-11,-6.93E-11,1,1.73205,1.00008,0.999918,1,1,0,-6.93E-11,0,1,-6.93E-11,0,0,1,1.73205,0,0,0,0,0,0.04,0,-2.30E-06,3.08E-16,-1.78E-06,3.08E-16,-2.30E-06,-1.78E-06,-1.78E-06,-1.78E-06,-2.52E-06,5.44E-06,-2.30E-06,1.84E-16,-1.78E-06,1.84E-16,-2.30E-06,-1.78E-06,-1.78E-06,-1.78E-06,-2.52E-06,5.44E-06,-2.30E-06,4.31E-16,-1.78E-06,4.31E-16,-2.30E-06,-1.78E-06,-1.78E-06,-1.78E-06,-2.52E-06,5.44E-06,0,0,0,0,0,0,0,0,0,0,0,0
unnamed_block_0,4,0,0,8.33333,8.33333,1,-4.04E-13,-4.08E-12,-4.04E-13,1,-4.08E-12,-4.08E-12,-4.08E-12,1,1.73205,1.00008,0.999918,1,1,-2.02E-13,-6.63E-11,-2.02E-13,1,-6.63E-11,6.22E-11,6.22E-11,1,1.73205,0,0,0,0,0,0.04,0,-1.87E-08,-1.04E-08,-1.05E-07,-1.04E-08,-1.87E-08,-1.05E-07,-1.05E-07,-1.05E-07,-1.56E-06,1.58E-06,-1.87E-08,-1.04E-08,-1.05E-07,-1.04E-08,-1.87E-08,-1.05E-07,-1.05E-07,-1.05E-07,-1.56E-06,1.58E-06,-1.87E-08,-1.04E-08,-1.05E-07,-1.04E-08,-1.87E-08,-1.05E-07,-1.05E-07,-1.05E-07,-1.56E-06,1.58E-06,-8.49E-10,-8.49E-10,-6.60E-10,1.37E-09,0,0,0,0,0,0,0,0
unnamed_block_0,5,8.33333,0,8.33333,11.7851,1,-1.98E-14,-4.78E-11,-1.98E-14,1,-3.82E-12,-4.78E-11,-3.82E-12,1,1.73205,1.00008,0.999918,1,1,1.30E-13,-5.90E-11,-1.49E-13,1,-6.62E-11,1.12E-11,6.24E-11,1,1.73205,0,0,0,0,0,0.04,0,-9.00E-07,-5.08E-10,-1.23E-06,-5.08E-10,-1.42E-08,-9.85E-08,-1.23E-06,-9.85E-08,-2.18E-06,2.93E-06,-9.00E-07,-5.08E-10,-1.23E-06,-5.08E-10,-1.42E-08,-9.85E-08,-1.23E-06,-9.85E-08,-2.18E-06,2.93E-06,-9.00E-07,-5.08E-10,-1.23E-06,-5.08E-10,-1.42E-08,-9.85E-08,-1.23E-06,-9.85E-08,-2.18E-06,2.93E-06,-5.39E-10,-8.51E-10,-3.49E-10,1.07E-09,0,0,0,0,0,0,0,0
unnamed_block_0,6,0,8.33333,8.33333,11.7851,1,-1.98E-14,-3.82E-12,-1.98E-14,1,-4.78E-11,-3.82E-12,-4.78E-11,1,1.73205,1.00008,0.999918,1,1,-1.49E-13,-6.62E-11,1.30E-13,1,-5.90E-11,6.24E-11,1.12E-11,1,1.73205,0,0,0,0,0,0.04,0,-1.42E-08,-5.08E-10,-9.85E-08,-5.08E-10,-9.00E-07,-1.23E-06,-9.85E-08,-1.23E-06,-2.18E-06,2.93E-06,-1.42E-08,-5.08E-10,-9.85E-08,-5.08E-10,-9.00E-07,-1.23E-06,-9.85E-08,-1.23E-06,-2.18E-06,2.93E-06,-1.42E-08,-5.08E-10,-9.85E-08,-5.08E-10,-9.00E-07,-1.23E-06,-9.85E-08,-1.23E-06,-2.18E-06,2.93E-06,-8.51E-10,-5.39E-10,-3.49E-10,1.07E-09,0,0,0,0,0,0,0,0
unnamed_block_0,7,8.33333,8.33333,8.33333,14.4338,1,-1.13E-13,-4.77E-11,-1.13E-13,1,-4.77E-11,-4.77E-11,-4.77E-11,1,1.73205,1.00008,0.999918,1,1,-5.66E-14,-5.89E-11,-5.66E-14,1,-5.89E-11,1.13E-11,1.13E-11,1,1.73205,0,0,0,0,0,0.04,0,-9.16E-07,-2.91E-09,-1.23E-06,-2.91E-09,-9.16E-07,-1.23E-06,-1.23E-06,-1.23E-06,-2.80E-06,3.94E-06,-9.16E-07,-2.91E-09,-1.23E-06,-2.91E-09,-9.16E-07,-1.23E-06,-1.23E-06,-1.23E-06,-2.80E-06,3.94E-06,-9.16E-07,-2.91E-09,-1.23E-06,-2.91E-09,-9.16E-07,-1.23E-06,-1.23E-06,-1.23E-06,-2.80E-06,3.94E-06,-5.39E-10,-5.39E-10,-3.59E-11,7.63E-10,0,0,0,0,0,0,0,0
unnamed_block_0,8,16.6667,0,0,16.6667,1,0,-4.65E-11,0,1,-1.37E-10,-4.65E-11,-1.37E-10,1,1.73205,1.00008,0.999918,1,1,0,-4.65E-11,0,1,-1.37E-10,0,0,1,1.73205,0,0,0,0,0,0.04,0,-2.36E-06,4.09E-16,-1.20E-06,4.09E-16,-2.36E-06,-3.54E-06,-1.20E-06,-3.54E-06,-7.54E-06,9.79E-06,-2.36E-06,2.45E-16,-1.20E-06,2.45E-16,-2.36E-06,-3.54E-06,-1.20E-06,-3.54E-06,-7.54E-06,9.79E-06,-2.36E-06,5.74E-16,-1.20E-06,5.74E-16,-2.36E-06,-3.54E-06,-1.20E-06,-3.54E-06,-7.54E-06,9.79E-06,0,0,0,0,0,0,0,0,0,0,0,0
unnamed_block_0,9,16.6667,8.33333,0,18.6339,1,0,-4.64E-11,0,1,-6.94E-11,-4.64E-11,-6.94E-11,1,1.73205,1.00008,0.999918,1,1,0,-4.64E-11,0,1,-6.94E-11,0,0,1,1.73205,0,0,0,0,0,0.04,0,-2.29E-06,2.06E-16,-1.20E-06,2.06E-16,-2.29E-06,-1.79E-06,-1.20E-06,-1.79E-06,-2.03E-06,4.88E-06,-2.29E-06,1.23E-16,-1.20E-06,1.23E-16,-2.29E-06,-1.79E-06,-1.20E-06,-1.79E-06,-2.03E-06,4.88E-06,-2.29E-06,2.89E-16,-1.20E-06,2.89E-16,-2.29E-06,-1.79E-06,-1.20E-06,-1.79E-06,-2.03E-06,4.88E-06,0,0,0,0,0,0,0,0,0,0,0,0
